description,date,invTime,total_latency
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,13:12:15,0.7490477561950684
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,13:14:18,0.18976259231567383
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,13:18:18,0.2245926856994629
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,13:24:18,0.21452903747558594
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,13:32:19,0.23503971099853516
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,13:42:19,0.24746918678283691
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,13:54:20,0.7279841899871826
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,14:01:20,0.2008500099182129
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,14:10:21,0.25037479400634766
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,14:21:21,0.7477374076843262
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,14:27:22,0.21846342086791992
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,14:35:22,0.2415328025817871
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,14:45:23,0.21445178985595703
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,14:57:24,0.771108865737915
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,15:04:24,0.21553468704223633
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,15:13:24,0.2476949691772461
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,15:24:25,0.7727658748626709
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,15:30:26,0.21169066429138184
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,15:38:26,0.22953319549560547
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,15:48:26,0.22643589973449707
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,16:00:27,0.711545467376709
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,16:12:28,0.7272567749023438
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,16:18:28,0.2025928497314453
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,16:25:29,0.22359609603881836
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,16:33:31,0.22423243522644043
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,16:42:31,0.21297430992126465
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,16:52:31,0.23270368576049805
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,17:03:32,0.7642691135406494
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,17:09:32,0.2269270420074463
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,17:16:33,0.2527434825897217
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,17:24:33,0.22187042236328125
03d52f18-1ce1-11ea-9264-b827ebbb6c40,2019-12-12,17:33:33,0.22603440284729004
